Species,Life stage,Life style,Taxonomic group,Host species,Lake,Season,Number of samples,Minimum sample size,Maximum sample size,Total sample size,Log total sample size,Body mass (mg),Log body mass,Mean density (m²),Log mean,SD,SD/Mean,Variance,Log variance
Hygraula sp,L,Free-living,Insect,,Tomahawk,September,24,0,2,15,1.1760912591,6.12975,0.7874427623,3.916666667,0.592916612,6.813775476,1.739687355,46.42753623,1.666775638
Hygraula sp,L,Free-living,Insect,,Tuakitoto,September,24,0,7,20,1.3010299957,6.12975,0.7874427623,7,0.84509804,16.75397422,2.393424889,280.6956522,2.448235686
Hygraula sp,L,Free-living,Insect,,Tuakitoto,January,24,0,87,347,2.5403294748,6.12975,0.7874427623,28.91666667,1.461148229,36.40343589,1.258908446,1325.210145,3.122284752
Hyridella sp,Ad,Free-living,Mollusc,,Tuakitoto,January,24,0,1,1,0,41324.5321,4.6162079449,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Hyridella sp,Ad,Free-living,Mollusc,,Waihola,May,24,0,1,1,0,41324.5321,4.6162079449,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Hyridella sp,Ad,Free-living,Mollusc,,Tuakitoto,September,24,0,1,2,0.3010299957,41324.5321,4.6162079449,0.833333333,-0.079181246,2.823298513,3.387958215,7.971014493,0.901513599
Lancetes sp,Ad,Free-living,Insect,,Hayes,September,24,0,1,1,0,11.954,1.0775132515,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Limnoxenus  sp,Ad,Free-living,Insect,,Tuakitoto,May,24,0,1,1,0,12.063,1.0814553278,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Liodessus sp,L,Free-living,Insect,,Tuakitoto,September,24,0,1,1,0,4.945,0.6941662959,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Lumbricidae,Ad,Free-living,Annelid,,Hayes,May,24,0,2,4,0.6020599913,15.95308501,1.2028446794,1.666666667,0.22184875,4.815434123,2.889260474,23.1884058,1.365270892
Lumbricidae,Ad,Free-living,Annelid,,Tuakitoto,September,24,0,3,5,0.6989700043,15.95308501,1.2028446794,2.083333333,0.318758763,6.580053301,3.158425585,43.29710145,1.636458823
Lumbricidae,Ad,Free-living,Annelid,,Hayes,January,24,0,16,24,1.3802112417,15.95308501,1.2028446794,10,1,33.75100643,3.375100643,1139.130435,3.056573455
Lumbricidae,Ad,Free-living,Annelid,,Tomahawk,September,24,0,25,33,1.5185139399,15.95308501,1.2028446794,13.75,1.138302698,50.80332923,3.69478758,2580.978261,3.411784347
Lumbricidae,Ad,Free-living,Annelid,,Hayes,September,24,0,9,54,1.7323937598,15.95308501,1.2028446794,22.5,1.352182518,30.68068363,1.363585939,941.3043478,2.973730065
Lymnaeid,Ad,Free-living,Mollusc,,Hayes,September,24,0,1,1,0,25.004625,1.3980203457,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Lymnaeid,Ad,Free-living,Mollusc,,Hayes,May,24,0,2,6,0.7781512504,25.004625,1.3980203457,1.166666667,0.06694679,2.884240035,2.472205744,8.31884058,0.920062802
