BY,Species,Stock,Region,Area,Spawners,Recruits,ID
1991,Sockeye,Cultus,Fraser,South,20.16,17.5,SockeyeCultusFraserSouth
1992,Sockeye,Cultus,Fraser,South,1.2,2.22,SockeyeCultusFraserSouth
1993,Sockeye,Cultus,Fraser,South,1.06,1.61,SockeyeCultusFraserSouth
1994,Sockeye,Cultus,Fraser,South,4.4,10.6,SockeyeCultusFraserSouth
1995,Sockeye,Cultus,Fraser,South,10.32,58.65,SockeyeCultusFraserSouth
1996,Sockeye,Cultus,Fraser,South,2.02,52.01,SockeyeCultusFraserSouth
1997,Sockeye,Cultus,Fraser,South,0.09,-1,SockeyeCultusFraserSouth
1998,Sockeye,Cultus,Fraser,South,1.96,-1,SockeyeCultusFraserSouth
1950,Sockeye,Early Stuart,Fraser,South,59.1,241.67,SockeyeEarly StuartFraserSouth
1951,Sockeye,Early Stuart,Fraser,South,60.42,173.65,SockeyeEarly StuartFraserSouth
1952,Sockeye,Early Stuart,Fraser,South,29.93,88.6,SockeyeEarly StuartFraserSouth
1953,Sockeye,Early Stuart,Fraser,South,154.04,540.89,SockeyeEarly StuartFraserSouth
1954,Sockeye,Early Stuart,Fraser,South,35.05,155.82,SockeyeEarly StuartFraserSouth
1955,Sockeye,Early Stuart,Fraser,South,2.16,27.47,SockeyeEarly StuartFraserSouth
1956,Sockeye,Early Stuart,Fraser,South,25.02,110.39,SockeyeEarly StuartFraserSouth
1957,Sockeye,Early Stuart,Fraser,South,234.85,1222.94,SockeyeEarly StuartFraserSouth
1958,Sockeye,Early Stuart,Fraser,South,38.81,103.11,SockeyeEarly StuartFraserSouth
1959,Sockeye,Early Stuart,Fraser,South,2.67,20.84,SockeyeEarly StuartFraserSouth
1960,Sockeye,Early Stuart,Fraser,South,14.45,74.15,SockeyeEarly StuartFraserSouth
1961,Sockeye,Early Stuart,Fraser,South,198.92,255.84,SockeyeEarly StuartFraserSouth
1962,Sockeye,Early Stuart,Fraser,South,26.72,75.79,SockeyeEarly StuartFraserSouth
1963,Sockeye,Early Stuart,Fraser,South,4.61,92.55,SockeyeEarly StuartFraserSouth
1964,Sockeye,Early Stuart,Fraser,South,2.39,42.89,SockeyeEarly StuartFraserSouth
1965,Sockeye,Early Stuart,Fraser,South,23.05,417.21,SockeyeEarly StuartFraserSouth
1966,Sockeye,Early Stuart,Fraser,South,10.83,84.79,SockeyeEarly StuartFraserSouth
1967,Sockeye,Early Stuart,Fraser,South,21.04,339.69,SockeyeEarly StuartFraserSouth
1968,Sockeye,Early Stuart,Fraser,South,1.52,10.42,SockeyeEarly StuartFraserSouth
1969,Sockeye,Early Stuart,Fraser,South,109.66,1375.59,SockeyeEarly StuartFraserSouth
1970,Sockeye,Early Stuart,Fraser,South,32.58,182.14,SockeyeEarly StuartFraserSouth
1971,Sockeye,Early Stuart,Fraser,South,95.94,431.21,SockeyeEarly StuartFraserSouth
1972,Sockeye,Early Stuart,Fraser,South,4.66,32.23,SockeyeEarly StuartFraserSouth
1973,Sockeye,Early Stuart,Fraser,South,299.89,1341.98,SockeyeEarly StuartFraserSouth
1974,Sockeye,Early Stuart,Fraser,South,39.52,140.52,SockeyeEarly StuartFraserSouth
1975,Sockeye,Early Stuart,Fraser,South,65.75,224.05,SockeyeEarly StuartFraserSouth
1976,Sockeye,Early Stuart,Fraser,South,11.76,31.85,SockeyeEarly StuartFraserSouth
1977,Sockeye,Early Stuart,Fraser,South,117.45,761.69,SockeyeEarly StuartFraserSouth
1978,Sockeye,Early Stuart,Fraser,South,50,72.85,SockeyeEarly StuartFraserSouth
1979,Sockeye,Early Stuart,Fraser,South,92.75,107.94,SockeyeEarly StuartFraserSouth
1980,Sockeye,Early Stuart,Fraser,South,16.94,63.5,SockeyeEarly StuartFraserSouth
1981,Sockeye,Early Stuart,Fraser,South,129.46,350.14,SockeyeEarly StuartFraserSouth
1982,Sockeye,Early Stuart,Fraser,South,4.56,27.82,SockeyeEarly StuartFraserSouth
