Major Popn Group,Population,Year,Spawners (total),Spawners (natural origin),Spawners (hatchery origin),Broodstock take,Harvest,Harvest rate,Prop of age-3,Prop of age-4,Prop of age-5,Prop of age-6,Brood year recruits,R per natural-origin spawner,R per total spawner
Grande Ronde R,Imnaha,1965,1586,1586,0,0,934,0.4,0.11,0.57,0.32,0,2812,1.77,1.77
Grande Ronde R,Imnaha,1966,1871,1871,0,0,507,0.23,0.11,0.57,0.32,0,2824,1.51,1.51
Grande Ronde R,Imnaha,1967,1804,1804,0,0,837,0.34,0.11,0.57,0.32,0,3841,2.13,2.13
Grande Ronde R,Imnaha,1968,2022,2022,0,0,728,0.29,0.11,0.57,0.32,0,4856,2.4,2.4
Grande Ronde R,Imnaha,1969,2534,2534,0,0,729,0.25,0.11,0.57,0.32,0,5097,2.01,2.01
Grande Ronde R,Imnaha,1970,1477,1477,0,0,555,0.3,0.11,0.57,0.32,0,2717,1.84,1.84
Grande Ronde R,Imnaha,1971,3071,3071,0,0,1015,0.27,0.11,0.57,0.32,0,1361,0.44,0.44
Grande Ronde R,Imnaha,1972,2819,2819,0,0,1208,0.33,0.11,0.57,0.32,0,1238,0.44,0.44
Grande Ronde R,Imnaha,1973,4363,4363,0,0,2235,0.37,0.11,0.57,0.32,0,2156,0.49,0.49
Grande Ronde R,Imnaha,1974,2324,2324,0,0,468,0.19,0.11,0.57,0.32,0,2384,1.03,1.03
Grande Ronde R,Imnaha,1975,1250,1250,0,0,1,0,0.11,0.57,0.32,0,768,0.61,0.61
Grande Ronde R,Imnaha,1976,1065,1065,0,0,3,0,0.11,0.57,0.32,0,528,0.5,0.5
Grande Ronde R,Imnaha,1977,1200,1200,0,0,339,0.24,0.11,0.57,0.32,0,918,0.77,0.77
Grande Ronde R,Imnaha,1978,3482,3482,0,0,150,0.05,0.11,0.57,0.32,0,1061,0.3,0.3
Grande Ronde R,Imnaha,1979,436,436,0,0,17,0.04,0.11,0.57,0.32,0,979,2.25,2.25
Grande Ronde R,Imnaha,1980,336,336,0,0,11,0.04,0.11,0.57,0.32,0,891,2.65,2.65
Grande Ronde R,Imnaha,1981,831,831,0,0,48,0.06,0.11,0.57,0.32,0,1518,1.83,1.83
Grande Ronde R,Imnaha,1982,1082,1082,0,28,75,0.07,0.11,0.57,0.32,0,1181,1.09,1.09
Grande Ronde R,Imnaha,1983,797,797,0,64,44,0.06,0.11,0.57,0.32,0,1083,1.36,1.36
Grande Ronde R,Imnaha,1984,948,948,0,36,57,0.06,0.11,0.57,0.32,0,288,0.3,0.3
Grande Ronde R,Imnaha,1985,1592,1460,132,115,77,0.06,0.21,0.66,0.12,0,294,0.18,0.2
Grande Ronde R,Imnaha,1986,769,722,47,315,46,0.06,0.07,0.64,0.29,0,377,0.49,0.52
Grande Ronde R,Imnaha,1987,503,452,51,83,31,0.07,0.03,0.72,0.25,0,254,0.5,0.56
Grande Ronde R,Imnaha,1988,704,595,109,140,55,0.09,0.07,0.17,0.76,0,525,0.75,0.88
Grande Ronde R,Imnaha,1989,347,254,93,105,11,0.05,0.19,0.44,0.37,0,240,0.69,0.94
Grande Ronde R,Imnaha,1990,387,199,188,81,12,0.06,0.07,0.67,0.26,0,102,0.26,0.51
Grande Ronde R,Imnaha,1991,493,222,271,51,12,0.06,0.08,0.53,0.39,0,128,0.26,0.58
Grande Ronde R,Imnaha,1992,758,183,575,54,7,0.04,0.05,0.61,0.34,0,491,0.65,2.68
Grande Ronde R,Imnaha,1993,1106,428,678,58,20,0.05,0.03,0.27,0.7,0,309,0.28,0.72
Grande Ronde R,Imnaha,1994,258,145,113,20,8,0.05,0,0.47,0.53,0,205,0.79,1.41
Grande Ronde R,Imnaha,1995,313,175,138,38,2,0.04,0.58,0.39,0.03,0,392,1.25,2.24
Grande Ronde R,Imnaha,1996,386,292,94,72,11,0.04,0.05,0.84,0.12,0,602,1.56,2.06
Grande Ronde R,Imnaha,1997,469,164,305,23,6,0.04,0.04,0.7,0.27,0,1874,4,11.43
Grande Ronde R,Imnaha,1998,387,181,206,76,6,0.04,0.03,0.38,0.59,0,1561,4.03,8.62
Grande Ronde R,Imnaha,1999,864,433,431,21,11,0.03,0.08,0.71,0.21,0,822,0.95,1.9
Grande Ronde R,Imnaha,2000,1277,621,656,48,13,0.03,0.35,0.57,0.08,0,538,0.42,0.87
Grande Ronde R,Imnaha,2001,2282,1156,1126,107,95,0.08,0.03,0.84,0.13,0,366,0.16,0.32
Grande Ronde R,Imnaha,2002,2875,1078,1797,43,87,0.08,0.02,0.57,0.41,0,364,0.13,0.34
Grande Ronde R,Imnaha,2003,2811,1426,1385,66,108,0.07,0.06,0.42,0.52,0,NA,NA,NA
Grande Ronde R,Imnaha,2004,1462,515,947,63,23,0.05,0.2,0.59,0.21,0,NA,NA,NA
Grande Ronde R,Imnaha,2005,748,263,485,63,12,0.05,0.09,0.65,0.26,0,NA,NA,NA
Grande Ronde R,Imnaha,2006,727,223,504,56,11,0.05,0.04,0.87,0.09,0,NA,NA,NA
Grande Ronde R,Imnaha,2007,737,157,580,51,7,0.05,0.19,0.43,0.38,0,NA,NA,NA
Grande Ronde R,Imnaha,2008,1996,274,1722,68,15,0.09,0.43,0.48,0.09,0,NA,NA,NA
Grande Ronde R,Imnaha,2009,1962,437,1525,77,NA,NA,0.36,0.52,0.13,0,NA,NA,NA
Grande Ronde R,Lostine,1959,657,657,0,0,1125,0.65,0.08,0.75,0.17,0,2240,3.41,3.41
Grande Ronde R,Lostine,1960,606,606,0,0,727,0.58,0.13,0.76,0.11,0,3194,5.27,5.27
Grande Ronde R,Lostine,1961,281,281,0,0,238,0.5,0.14,0.73,0.14,0,3371,12,12
Grande Ronde R,Lostine,1962,338,338,0,0,403,0.63,0.3,0.55,0.15,0,2760,8.17,8.17
Grande Ronde R,Lostine,1963,1104,1104,0,0,1602,0.62,0.1,0.53,0.37,0,2636,2.39,2.39
Grande Ronde R,Lostine,1964,1585,1585,0,0,2066,0.59,0.08,0.76,0.16,0,1981,1.25,1.25
Grande Ronde R,Lostine,1965,956,956,0,0,2246,0.74,0.15,0.81,0.04,0,1275,1.33,1.33
Grande Ronde R,Lostine,1966,1284,1284,0,0,814,0.44,0.18,0.6,0.22,0.01,1369,1.07,1.07
Grande Ronde R,Lostine,1967,1106,1106,0,0,1326,0.58,0.11,0.46,0.42,0.01,2650,2.4,2.4
Grande Ronde R,Lostine,1968,1152,1152,0,0,1223,0.52,0.02,0.5,0.48,0,2036,1.77,1.77
Grande Ronde R,Lostine,1969,914,914,0,0,549,0.38,0.03,0.61,0.36,0,2124,2.32,2.32
Grande Ronde R,Lostine,1970,813,813,0,0,648,0.44,0,0.77,0.23,0,955,1.17,1.17
