Major Popn Group,Population,Year,Spawners (total),Spawners (natural origin),Spawners (hatchery origin),Broodstock take,Harvest,Harvest rate,Prop of age-3,Prop of age-4,Prop of age-5,Prop of age-6,Brood year recruits,R per natural-origin spawner,R per total spawner
Snake R,Snake River (Upper Mainstem),2001,1108,554,554,54,96,0.15,0.06,0.67,0.27,0,303,0.27,0.55
Snake R,Snake River (Upper Mainstem),2002,1206,715,491,58,106,0.13,0.03,0.5,0.47,0,255,0.21,0.36
Snake R,Snake River (Upper Mainstem),2003,658,484,174,0,45,0.09,0.08,0.19,0.72,0,NA,NA,NA
Snake R,Snake River (Upper Mainstem),2004,638,435,203,0,45,0.11,0.13,0.74,0.13,0,NA,NA,NA
Snake R,Snake River (Upper Mainstem),2005,418,252,166,0,18,0.08,0.13,0.47,0.4,0,NA,NA,NA
Snake R,Snake River (Upper Mainstem),2006,354,266,88,0,20,0.08,0.09,0.52,0.4,0,NA,NA,NA
Snake R,Snake River (Upper Mainstem),2007,187,166,21,0,14,0.09,0.09,0.52,0.4,0,NA,NA,NA
Snake R,Snake River (Upper Mainstem),2008,447,447,0,0,77,0.16,0.09,0.52,0.4,0,NA,NA,NA
Snake R,Valley,1957,1496,1496,0,0,901,0.62,0.03,0.34,0.62,0,1837,1.23,1.23
Snake R,Valley,1958,299,299,0,0,216,0.75,0.03,0.34,0.62,0,2584,8.64,8.64
Snake R,Valley,1959,253,253,0,0,169,0.69,0.03,0.34,0.62,0,1488,5.88,5.88
Snake R,Valley,1960,609,609,0,0,419,0.71,0.03,0.34,0.62,0,1585,2.6,2.6
Snake R,Valley,1961,1047,1047,0,0,586,0.58,0.03,0.34,0.62,0,2110,2.02,2.02
Snake R,Valley,1962,740,740,0,0,1621,0.69,0.03,0.44,0.53,0,2607,3.52,3.52
Snake R,Valley,1963,520,520,0,0,1262,0.71,0.01,0.15,0.84,0,1438,2.77,2.77
Snake R,Valley,1964,734,734,0,0,1122,0.62,0.06,0.32,0.62,0,1324,1.8,1.8
Snake R,Valley,1965,710,710,0,0,1200,0.64,0.06,0.43,0.51,0,929,1.31,1.31
Snake R,Valley,1966,1096,1096,0,0,1007,0.49,0.04,0.4,0.56,0,939,0.86,0.86
Snake R,Valley,1967,903,903,0,0,1214,0.58,0.05,0.17,0.78,0,1443,1.6,1.6
Snake R,Valley,1968,1069,1069,0,0,1002,0.49,0.02,0.5,0.48,0,1741,1.63,1.63
Snake R,Valley,1969,155,155,0,0,131,0.47,0.03,0.32,0.64,0,581,3.75,3.75
Snake R,Valley,1970,661,661,0,0,623,0.49,0.03,0.34,0.62,0,905,1.37,1.37
Snake R,Valley,1971,642,642,0,0,388,0.39,0.04,0.48,0.48,0,220,0.34,0.34
Snake R,Valley,1972,601,601,0,0,719,0.55,0.01,0.3,0.69,0,248,0.41,0.41
Snake R,Valley,1973,549,549,0,0,854,0.61,0,0.07,0.93,0,1198,2.18,2.18
Snake R,Valley,1974,468,468,0,0,315,0.41,0.03,0.38,0.6,0,202,0.43,0.43
Snake R,Valley,1975,732,732,0,0,1,0,0,0.17,0.83,0,66,0.09,0.09
Snake R,Valley,1976,117,117,0,0,0,0.01,0.03,0.34,0.62,0,0,0,0
Snake R,Valley,1977,220,220,0,0,117,0.36,0.03,0.34,0.62,0,67,0.3,0.3
Snake R,Valley,1978,979,979,0,0,222,0.18,0,0.1,0.9,0,80,0.08,0.08
Snake R,Valley,1979,109,109,0,0,4,0.04,0,0.36,0.64,0,76,0.7,0.7
Snake R,Valley,1980,27,27,0,0,0,0.03,0.05,0,0.95,0,27,1,1
Snake R,Valley,1981,52,52,0,0,3,0.07,0.09,0.91,0,0,56,1.08,1.08
Snake R,Valley,1982,24,24,0,0,2,0.09,0.03,0.34,0.62,0,193,8.04,8.04
Snake R,Valley,1983,98,98,0,0,9,0.09,0.03,0.34,0.62,0,179,1.83,1.83
Snake R,Valley,1984,57,57,0,0,6,0.1,0.03,0.34,0.62,0,146,2.56,2.56
Snake R,Valley,1985,5,5,0,0,0,0.07,0.03,0.34,0.62,0,77,15.4,15.4
Snake R,Valley,1986,79,79,0,0,6,0.08,0.03,0.34,0.62,0,26,0.33,0.33
Snake R,Valley,1987,245,245,0,0,20,0.08,0.03,0.34,0.62,0,18,0.07,0.07
Snake R,Valley,1988,122,122,0,0,18,0.14,0.03,0.34,0.62,0,58,0.48,0.48
Snake R,Valley,1989,133,133,0,0,14,0.1,0.03,0.34,0.62,0,32,0.24,0.24
Snake R,Valley,1990,33,33,0,0,4,0.12,0.03,0.34,0.62,0,9,0.27,0.27
Snake R,Valley,1991,14,14,0,0,1,0.1,0.03,0.34,0.62,0,5,0.36,0.36
Snake R,Valley,1992,19,19,0,0,1,0.08,0.03,0.34,0.62,0,24,1.26,1.26
Snake R,Valley,1993,63,63,0,0,4,0.07,0.01,0.24,0.76,0,77,1.22,1.22
Snake R,Valley,1994,24,24,0,0,2,0.1,0.03,0.34,0.62,0,48,2,2
Snake R,Valley,1995,0,0,0,0,0,0.05,0.03,0.34,0.62,0,18,NA,NA
Snake R,Valley,1996,8,8,0,0,0,0.05,0.03,0.34,0.62,0,133,16.63,16.63
Snake R,Valley,1997,33,33,0,0,2,0.07,0.03,0.34,0.62,0,268,8.12,8.12
Snake R,Valley,1998,101,101,0,0,5,0.06,0.03,0.34,0.62,0,320,3.17,3.17
Snake R,Valley,1999,19,19,0,0,0,0.04,0.03,0.34,0.62,0,180,9.47,9.47
Snake R,Valley,2000,14,14,0,0,0,0.06,0.03,0.34,0.62,0,77,5.5,5.5
Snake R,Valley,2001,177,177,0,0,29,0.15,0.03,0.34,0.62,0,64,0.36,0.36
Snake R,Valley,2002,280,280,0,0,39,0.13,0.03,0.34,0.62,0,76,0.27,0.27
Snake R,Valley,2003,302,302,0,0,30,0.09,0.03,0.34,0.62,0,NA,NA,NA
Snake R,Valley,2004,84,84,0,0,9,0.11,0.03,0.34,0.62,0,NA,NA,NA
Snake R,Valley,2005,54,54,0,0,4,0.08,0.03,0.34,0.62,0,NA,NA,NA
Snake R,Valley,2006,63,63,0,0,5,0.08,0.03,0.34,0.62,0,NA,NA,NA
Snake R,Valley,2007,76,76,0,0,7,0.09,0.03,0.34,0.62,0,NA,NA,NA
Snake R,Valley,2008,163,163,0,0,30,0.16,0.03,0.34,0.62,0,NA,NA,NA
